[2022-04-09 17:11:18.806] [info]  Running version 2022.2.1
[2022-04-09 17:37:13.712] [info]  [response] Delete body /home/rune/.config/Insomnia/responses/03c7b498-7ff3-4546-bcfa-e9e4d910b6a6.response
[2022-04-09 17:37:13.713] [info]  [response] Delete timeline /home/rune/.config/Insomnia/responses/a25cec8877107484de29179bb5832832970910ee.timeline
[2022-04-09 17:43:37.425] [info]  [response] Delete timeline /home/rune/.config/Insomnia/responses/e13161385fb418a52eb5f2b0280aa94787b9ef2e.timeline
[2022-04-09 17:43:37.426] [info]  [response] Delete body /home/rune/.config/Insomnia/responses/0f40cd7a-5831-455d-abe2-88a847a81076.response
[2022-04-09 17:43:43.591] [info]  [response] Delete body /home/rune/.config/Insomnia/responses/6e72bcdb-b966-46e6-84fc-535fdcc3eb43.response
[2022-04-09 17:43:43.591] [info]  [response] Delete timeline /home/rune/.config/Insomnia/responses/dcb2ff0efd4d8e299e8ddac4771b6497ab641e00.timeline
[2022-04-09 17:43:46.285] [info]  [response] Delete body /home/rune/.config/Insomnia/responses/244c5708-66cd-4bb5-bb8c-8f066d6b35fc.response
[2022-04-09 17:43:46.285] [info]  [response] Delete timeline /home/rune/.config/Insomnia/responses/028f6f74425ad0bd35db126ad5d2e06847619a3b.timeline
[2022-04-09 17:43:47.885] [info]  [response] Delete body /home/rune/.config/Insomnia/responses/7e411291-a0d3-4815-a6c2-2f706ec2e1be.response
[2022-04-09 17:43:47.886] [info]  [response] Delete timeline /home/rune/.config/Insomnia/responses/7f7118c545d40d13e260a2616ef24226ff232868.timeline
[2022-04-09 17:44:28.100] [info]  [response] Delete body /home/rune/.config/Insomnia/responses/303ccc0e-ec76-47ce-8abc-e1d8c797a6a0.response
[2022-04-09 17:44:28.101] [info]  [response] Delete timeline /home/rune/.config/Insomnia/responses/7de9b7297324d2c738e23a540a50fb72d14c4128.timeline
[2022-04-09 17:44:30.720] [info]  [response] Delete body /home/rune/.config/Insomnia/responses/17f672cb-9aca-4427-97df-8cf4245b2887.response
[2022-04-09 17:44:30.720] [info]  [response] Delete timeline /home/rune/.config/Insomnia/responses/a6a1cd86e6362839c7a921ea4551f86f3ca1d7d7.timeline
[2022-04-09 18:09:07.854] [info]  [response] Delete body /home/rune/.config/Insomnia/responses/86e3c7e6-76a9-494e-8f4d-c83bcfb21e14.response
[2022-04-09 18:09:07.855] [info]  [response] Delete timeline /home/rune/.config/Insomnia/responses/d54c498f-6000-46a6-b8a9-c13832a576d1.timeline
[2022-04-09 18:09:29.731] [info]  [response] Delete body /home/rune/.config/Insomnia/responses/ec88d2a3-f051-4e72-8795-787553fe3eab.response
[2022-04-09 18:09:29.731] [info]  [response] Delete timeline /home/rune/.config/Insomnia/responses/e9b7caee-0075-44a9-a3dc-b153f8c50a8c.timeline
